team_id,year,tvs
1,2020,138
2,2020,156
3,2020,125
4,2020,313
5,2020,92
6,2020,122
7,2020,124
8,2020,110
9,2020,70
10,2020,71
11,2020,76
12,2020,88
13,2020,53
14,2020,29
15,2020,40
16,2020,14
17,2020,8
