"index","game_id","year","round","date","start_time","attendance","home_team_score","away_team_score","rain_fall","home_team_id","away_team_id","name","stadium_id"
56,"2021R703",2021,"R7","2021-05-01 00:00:00","13:40",28853,39,106,0,1,9,"Adelaide Oval",47
57,"2021R704",2021,"R7","2021-05-01 00:00:00","16:35",26433,128,59,0,15,10,"Docklands",107
58,"2021R705",2021,"R7","2021-05-01 00:00:00","19:25",29123,90,88,0,16,8,"S.C.G.",42
59,"2021R706",2021,"R7","2021-05-01 00:00:00","19:25",20007,93,44,6.2,2,13,"Gabba",56
60,"2021R707",2021,"R7","2021-05-02 00:00:00","13:10",6009,73,103,NULL,12,11,"Bellerive Oval",116
61,"2021R708",2021,"R7","2021-05-02 00:00:00","15:20",57447,107,123,0,5,3,"M.C.G.",63
62,"2021R709",2021,"R7","2021-05-02 00:00:00","14:40",0,132,73,0,17,6,"Perth Stadium",147
63,"2021R801",2021,"R8","2021-05-07 00:00:00","19:50",54857,63,126,0,14,8,"M.C.G.",63
64,"2021R802",2021,"R8","2021-05-08 00:00:00","13:45",9271,54,63,0,7,15,"Carrara",80
65,"2021R803",2021,"R8","2021-05-08 00:00:00","14:10",8526,107,105,1.4,9,5,"Sydney Showground",28
66,"2021R804",2021,"R8","2021-05-08 00:00:00","16:35",22329,76,94,0,12,4,"Docklands",107
67,"2021R805",2021,"R8","2021-05-08 00:00:00","19:25",35567,67,58,0,11,16,"M.C.G.",63
68,"2021R806",2021,"R8","2021-05-08 00:00:00","19:10",43069,87,38,0,13,1,"Adelaide Oval",47
69,"2021R807",2021,"R8","2021-05-09 00:00:00","13:10",15277,60,98,0.6,10,17,"M.C.G.",63
70,"2021R808",2021,"R8","2021-05-09 00:00:00","15:20",27663,107,91,0.6,18,3,"Docklands",107
71,"2021R809",2021,"R8","2021-05-09 00:00:00","16:40",15403,95,71,0,2,6,"Gabba",56
72,"2021R901",2021,"R9","2021-05-14 00:00:00","19:50",26712,47,68,4.2,15,8,"Docklands",107
73,"2021R902",2021,"R9","2021-05-15 00:00:00","13:45",31448,72,42,0,16,4,"S.C.G.",42
74,"2021R903",2021,"R9","2021-05-15 00:00:00","14:10",9121,80,87,0,10,12,"York Park",163
75,"2021R904",2021,"R9","2021-05-15 00:00:00","16:35",12636,51,124,0,7,2,"Carrara",80
76,"2021R905",2021,"R9","2021-05-15 00:00:00","19:25",18798,87,83,8.4,14,9,"Docklands",107
77,"2021R906",2021,"R9","2021-05-15 00:00:00","19:10",32787,77,96,3.4,13,18,"Adelaide Oval",47
78,"2021R907",2021,"R9","2021-05-16 00:00:00","13:10",26357,68,61,0.1,5,6,"Docklands",107
79,"2021R908",2021,"R9","2021-05-16 00:00:00","15:20",38581,94,68,0.1,11,3,"M.C.G.",63
80,"2021R909",2021,"R9","2021-05-16 00:00:00","14:40",43427,106,76,0,17,1,"Perth Stadium",147
81,"2021R1001",2021,"R10","2021-05-21 00:00:00","19:50",31127,102,74,0,2,14,"Gabba",56
82,"2021R1002",2021,"R10","2021-05-22 00:00:00","13:45",45741,86,63,0,3,10,"M.C.G.",63
83,"2021R1003",2021,"R10","2021-05-22 00:00:00","14:10",22055,91,57,0,8,7,"Kardinia Park",154
84,"2021R1004",2021,"R10","2021-05-22 00:00:00","16:05",31373,96,95,0,1,11,"Adelaide Oval",47
85,"2021R1005",2021,"R10","2021-05-22 00:00:00","19:25",28720,144,33,0,18,15,"Docklands",107
86,"2021R1006",2021,"R10","2021-05-22 00:00:00","17:40",29134,86,84,0,6,16,"Perth Stadium",147
