gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2021R308,2021,R3,4-Apr-21,Manuka Oval,6:10 PM,9563,Greater Western Sydney,68,Melbourne,102,0
2021R307,2021,R3,4-Apr-21,Docklands,3:20 PM,24551,Carlton,109,Fremantle,64,0
2021R306,2021,R3,3-Apr-21,Perth Stadium,5:10 PM,42090,West Coast,108,Port Adelaide,71,0
2021R305,2021,R3,3-Apr-21,Docklands,4:35 PM,29234,Essendon,143,St Kilda,68,0
2021R304,2021,R3,3-Apr-21,M.C.G.,1:45 PM,43637,Richmond,72,Sydney,117,0
2021R303,2021,R3,2-Apr-21,Adelaide Oval,7:20 PM,30175,Adelaide,95,Gold Coast,85,0
2021R302,2021,R3,2-Apr-21,Docklands,4:20 PM,28483,North Melbourne,39,Western Bulldogs,167,0
2021R301,2021,R3,1-Apr-21,Docklands,7:40 PM,28057,Collingwood,72,Brisbane Lions,73,0
2021R2309,2021,R23,22-Aug-21,Adelaide Oval,4:10 PM,13103,Adelaide,98,North Melbourne,54,0
2021R2308,2021,R23,22-Aug-21,M.C.G.,3:20 PM,0,Essendon,102,Collingwood,64,0
2021R2307,2021,R23,22-Aug-21,Bellerive Oval,12:15 PM,3082,St Kilda,107,Fremantle,49,0
2021R2306,2021,R23,21-Aug-21,Docklands,7:40 PM,0,Carlton,75,Greater Western Sydney,89,1.4
2021R2305,2021,R23,21-Aug-21,Kardinia Park,7:25 PM,0,Geelong,77,Melbourne,81,0
2021R2304,2021,R23,21-Aug-21,Gabba,4:35 PM,21845,Brisbane Lions,125,West Coast,87,0
2021R2303,2021,R23,21-Aug-21,Docklands,1:45 PM,0,Sydney,136,Gold Coast,49,1.4
2021R2302,2021,R23,21-Aug-21,M.C.G.,1:35 PM,0,Richmond,83,Hawthorn,83,1.4
2021R2301,2021,R23,20-Aug-21,Docklands,7:50 PM,0,Western Bulldogs,64,Port Adelaide,66,0.8
2021R2209,2021,R22,15-Aug-21,Perth Stadium,3:10 PM,51692,Fremantle,79,West Coast,64,0
2021R2208,2021,R22,15-Aug-21,Kardinia Park,3:20 PM,0,Gold Coast,30,Essendon,98,0
2021R2207,2021,R22,15-Aug-21,M.C.G.,2:10 PM,0,Melbourne,104,Adelaide,63,0
2021R2206,2021,R22,14-Aug-21,Docklands,7:40 PM,0,North Melbourne,77,Sydney,91,4
2021R2205,2021,R22,14-Aug-21,Gabba,7:25 PM,15146,Brisbane Lions,142,Collingwood,57,1.8
2021R2204,2021,R22,14-Aug-21,Kardinia Park,4:35 PM,0,Geelong,85,St Kilda,71,0
2021R2203,2021,R22,14-Aug-21,Adelaide Oval,4:05 PM,13943,Port Adelaide,140,Carlton,45,0.2
2021R2202,2021,R22,14-Aug-21,York Park,1:45 PM,7822,Hawthorn,64,Western Bulldogs,37,0
2021R2201,2021,R22,13-Aug-21,Docklands,7:50 PM,0,Greater Western Sydney,106,Richmond,67,0
2021R2109,2021,R21,9-Aug-21,Perth Stadium,6:10 PM,31584,West Coast,63,Melbourne,72,5.2
2021R2108,2021,R21,8-Aug-21,Perth Stadium,3:10 PM,29589,Fremantle,54,Brisbane Lions,118,3.8
2021R2107,2021,R21,8-Aug-21,Docklands,3:20 PM,0,Western Bulldogs,84,Essendon,97,1
2021R2106,2021,R21,8-Aug-21,M.C.G.,2:10 PM,0,Hawthorn,97,Collingwood,78,1
2021R2105,2021,R21,7-Aug-21,Docklands,7:40 PM,0,St Kilda,93,Sydney,64,0.6
2021R2104,2021,R21,7-Aug-21,Adelaide Oval,7:10 PM,14736,Adelaide,51,Port Adelaide,55,1.4
